id,street,city,state,zip
0,208 MCMEANS AVE,BAY MINETTE,AL,36507
1,710 MCMEANS AVE,BAY MINETTE,AL,36507
2,2012 HAND AVE,BAY MINETTE,AL,36507
3,619 MCMEANS AVENUE,BAY MINETTE,AL,36507
4,109 COURTHOUSE SQUARE,BAY MINETTE,AL,36507
5,618 MCMEANS AVENUE,BAY MINETTE,AL,36507
6,1200 N MCKENZIE STREET,FOLEY,AL,36535
7,14965 HWY 59,FOLEY,AL,36535
8,69005 MAIN STREET,BLOUNTSVILLE,AL,35031
9,69005 MAIN ST,BLOUNTSVILLE,AL,35031
10,1 MAIN STREET,ROCKFORD,AL,35136
11,9681 HWY 231,ROCKFORD,AL,35136
12,1910 MAIN AVE SW,CULLMAN,AL,35055
13,1704 CHEROKEE AVENUE SW,CULLMAN,AL,35055
14,1407 SECOND AVE S,W CULLMAN,AL,35055
15,1824 MAIN AVENUE S,W CULLMAN,AL,35055
16,1606 2ND AVENUE S,W CULLMAN,AL,35055
17,1700 2ND AVENUE SOUTHWEST,CULLMAN,AL,35055
18,1701 MAIN AVE SW,CULLMAN,AL,35055
19,715 CULLMAN SHOPPING CENTER,CULLMAN,AL,35055
20,1731 2ND AVE S,W CULLMAN,AL,35055
21,124 7TH ST SW,CULLMAN,AL,35055
22,626 OLIVE STREET SW,CULLMAN,AL,35055
23,802 FORREST AVE,EAST BREWTON,AL,36426
24,1020 TUSCALOOSA AVENUE,GADSDEN,AL,35901
25,1151 ROSS CLARK CIRCLE,DOTHAN,AL,36301
26,134 PREVATT ROAD,DOTHAN,AL,36301
27,21549 AL HWY,SCOTTSBORO,AL,35768
28,1201 11TH AVENUE SOUTH,BIRMINGHAM,AL,35205
29,1431 11TH AVENUE,SO BIRMINGHAM,AL,35205
30,1201 11 AVE,SO BIRMINGHAM,AL,35205
31,6405 AVENUE K,BESSEMER,AL,35020
32,4911 CAHABA RIVER ROAD,BIRMINGHAM,AL,35243
33,4700 CAHABA RIVER RD,BIRMINGHAM,AL,35243
34,2201 TYLER RD,HOOVER,AL,35226
35,1717 SOUTH COLLEGE STREET,AUBURN,AL,36830
36,1617 S COLLEGE ST,AUBURN,AL,36832
37,1036 N BRINDLEE MTN PARKWAY,ARAB,AL,35016
38,606 BRINDLEE MTN PKWY NORTH,ARAB,AL,35016
39,1320 GOVERNMENT ST,MOBILE,AL,36604
40,1550 GOVERNMENT STREET,MOBILE,AL,36604
41,1050 S BROAD ST,MOBILE,AL,36603
42,101 SOUTH BELTLINE HIGHWAY,MOBILE,AL,36606
43,3065 DAUPHIN STREET,MOBILE,AL,36606
44,601 EAST I 65 SERVICE ROAD SOUTH,MOBILE,AL,36606
45,2601 EMOGENE STREET,MOBILE,AL,36606
46,4682 AIRPORT BLVD,MOBILE,AL,36608
47,4790 MOBILE HWY,MONTGOMERY,AL,36108
48,4724 MOBILE HWY,MONTGOMERY,AL,36108
49,401 CORSBIE ST NW,HARTSELLE,AL,35640
50,240 HWY 31 SOUTHWEST,HARTSELLE,AL,35640
51,241 HIGHWAY 31 SW,HARTSELLE,AL,35640
52,201 HIGHWAY 31 NW,HARTSELLE,AL,35640
53,241 HIGHWAY 31 SW,HARTSELLE,AL,35640
54,302 PINE ST NW,HARTSELLE,AL,35640
55,4087 HIGHWAY 31 S,W FALKVILLE,AL,35622
56,113 3RD STREET,ALICEVILLE,AL,35442
57,551 MEMORIAL PARKWAY EAST,ALICEVILLE,AL,35442
58,1108 13TH STREET,PHENIX CITY,AL,36867
59,1108 13TH STREET,PHENIX CITY,AL,36867
60,15582 HWY 280,CHELSEA,AL,35043
61,16468 HIGHWAY 280,CHELSEA,AL,35043
62,16712 S HWY 280,CHELSEA,AL,35043
63,501 CHELSEA CROSSROADS,CHELSEA,AL,35043
64,108 LAFAYETTE STREET,LIVINGSTON,AL,35470
65,583 FOURTH AVENUE,YORK,AL,36925
66,400 COUNTRY CLUB RD,YORK,AL,36925
67,10 MCFARLAND BLVD,NORTHPORT,AL,35476
68,1700 MCFARLAND BLVD,NORTHPORT,AL,35476
69,400 MCFARLAND BLVD,NORTHPORT,AL,35476
70,16114 HWY 216 SUITE,BROOKWOOD,AL,35444
71,1501 SKYLAND BLVD EAST,TUSCALOOSA,AL,35405
72,1401 SKYLAND BLVD,TUSCALOOSA,AL,35405
73,2916 UNIVERSITY BLVD E,TUSCALOOSA,AL,35404
74,HWY 195 GATEWAY,SHOPPING CENTER DOUBLE SPRINGS,AL,35553
75,25372 HIGHWAY 195,DOUBLE SPRINGS,AL,35553
76,26289 HWY 195,DOUBLE SPRINGS,AL,35553
77,1111 HIGHLAND AVE,SELMA,AL,36703
78,133 5 BROAD ST,SELMA,AL,36701
79,4310 MONTGOMERY HWY,DOTHAN,AL,36303
80,1571 WESTGATE PARKWAY,DOTHAN,AL,36303
81,170 FORT MORGAN RD,GULF SHORES,AL,36542
82,604 EAST PUSHMATAHA STREET,BUTLER,AL,36904
83,313 E PUSHMATAHA ST,BUTLER,AL,36904
84,307 NORTH MULBERRY AVE,BUTLER,AL,36904
85,123 JACKSON ST,GROVE HILL,AL,36451
86,126 MAIN STREET,GROVE HILL,AL,36451
87,11784 HWY 157,VINEMONT,AL,35179
88,11784 AL HWY,VINEMONT,AL,35179
89,176 ANDREWS AVE,OZARK,AL,36360
90,127 SOUTH EAST AVE,OZARK,AL,36360
91,127 SOUTH EAST AVENUE,OZARK,AL,36360
92,101 BROAD ST,SELMA,AL,36701
93,1631 BROAD STREET,SELMA,AL,36701
94,217 BROAD ST,SELMA,AL,36701
95,415 JEFF DAVIS AVE,SELMA,AL,36701
96,"1018 HIGHLAND AVENUE,","SELMA,",AL,36701
97,133 BROAD STREET,SELMA,AL,36702
98,278 NORTH THIRD STREET,GADSDEN,AL,35901
99,278 NORTH THIRD STREET,GADSDEN,AL,35901
100,2106 EWING AVENUE,GADSDEN,AL,35901
101,300 WALL STREET,GADSDEN,AL,35904
102,455 UNDERWOOD RD,RUSSELLVILLE,AL,35653
103,13675 HIGHWAY 43,RUSSELLVILLLE,AL,35653
104,455 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653
105,609 GANDY ST NE,RUSSELLVILLE,AL,35653
106,609 GANDY ST NE,RUSSELLVILLE,AL,35653
107,318 SOUTH JACKSON AVE,RUSSELLVILLE,AL,35653
108,104 WEST MONTGOMERY,RUSSELLVILLE,AL,35653
109,609 GANDY ST NE,RUSSELLVILLE,AL,35653
110,1909 HONEYSUCKLE RD,SOUTHWIND MEDICAL PARK DOTHAN,AL,36305
111,3119 WESLEY WAY,DOTHAN,AL,36305
112,1906 FAIRVIEW AVE,DOTHAN,AL,36301
113,2021 ALEXANDER DR,DOTHAN,AL,36301
114,1620 ROSS CLARK CIRCLE,DOTHAN,AL,36301
115,2019 ALEXANDER DRIVE,DOTHAN,AL,36301
116,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301
117,700 EAST COTTONWOOD RD,DOTHAN,AL,36301
118,1152 EAST LAKE BLVD,TARRANT,AL,35217
119,541 JACKSON BOULEVARD,TARRANT,AL,35217
120,541 JACKSON BLVD,TARRANT,AL,35217
121,2301 CENTER POINT PKWY,BIRMINGHAM,AL,35215
122,2402 OLD SPRINGVILLE ROAD,BIRMINGHAM,AL,35215
123,"2264 BRREWSTER RD,","BIRMINGHAM,",AL,35235
124,1551 FORESTDALE BLVD,FORESTDALE,AL,35214
125,1615 MONTGOMERY HIGHWAY,HOOVER,AL,35216
126,3317 LORNA ROAD,HOOVER,AL,35216
127,1561 MONTGOMERY HWY,HOOVER,AL,35216
128,3133 LORNA RD,HOOVER,AL,35216
129,1881 CHACE DR,HOOVER,AL,35244
130,3650 GALLERIA CIRCLE,HOOVER,AL,35244
131,3053 JOHNS HAWKINS PARKWAY,HOOVER,AL,35244
132,869 FLORENCE BLVD,FLORENCE,AL,35630
133,512 2ND AVE,OPELIKA,AL,36801
134,512 2ND AVENUE,OPELIKA,AL,36801
135,1713 PEPPERELL PKWY,OPELIKA,AL,36801
136,1515 A 2ND AVE,OPELIKA,AL,36801
137,207 NORTH 6TH ST,OPELIKA,AL,36801
138,30508 ARDMORE AVENUE,ARDMORE,AL,35739
139,29930 ARDMORE AVE,ARDMORE,AL,35739
140,625 ATHENS TOWN CENTER,ATHENS,AL,35611
141,225 HAYNEVILLE PLAZA,HAYNEVILLE,AL,36040
142,12 LAFAYETTE ST,HAYNEVILLE,AL,36040
143,4851 WHITESBURG DRIVE SE,HUNTSVILLE,AL,35802
144,4715 WHITESBURG DR,HUNTSVILLE,AL,35802
145,6046 HIGHWAY 53,HARVEST,AL,35749
146,5850 HIGHWAY 53,HARVEST,AL,35749
147,1445 GUNTER AVENUE,GUNTERSVILLE,AL,35976
148,11697 S HWY 431,GUNTERSVILLE,AL,35976
149,2011 GUNTER AVE,GUNTERSVILLE,AL,35976
150,2011 SPRINGHILL AVENUE,MOBILE,AL,36607
151,1 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607
152,3932 COTTAGE HILL RD,MOBILE,AL,36609
153,6395 AIRPORT BLVD,MOBILE,AL,36608
154,6300 GRELOT ROAD,MOBILE,AL,36609
155,306 SOUTH UNIVERSITY BLVD,MOBILE,AL,36609
156,306 SOUTH UNIVERSITY BLVD,MOBILE,AL,36609
157,2300 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116
158,17216 HIGHWAY 431,WEDOWEE,AL,36278
159,17054 HWY 431,WEDOWEE,AL,36278
160,608 MARTIN STREET SOUTH,PELL CITY,AL,35128
161,2040 MARTIN STREET SOUTH,PELL CITY,AL,35128
162,760 MARTIN ST SOUTH,A PELL CITY,AL,35128
163,205 BUCK CREEK PLAZA,ALABASTER,AL,35007
164,264 WEST FT WILLAMS STREET,SYLACAUGA,AL,35150
165,2 N BROADWAY AVE,SYLACAUGA,AL,35150
166,401 WEST FORT WILLIAMS STREET,SYLACAUGA,AL,35150
167,100 W FT WILLIAMS ST,SYLACAUGA,AL,35150
168,800 N BROADWAY,SYLACAUGA,AL,35150
169,216 N BROADWAY,SYLACAUGA,AL,35150
170,1 NORTH BROADWAY AVENUE,SYLACAUGA,AL,35150
171,4373 NORTHCREEK BLVD,NORTHPORT,AL,35473
172,1910 MCFARLAND BOULEVARD,NORTHPORT,AL,35476
173,4280 MITT LARY RD,NORTHPORT,AL,35475
174,2300 MCFARLAND BLVD,NORTHPORT,AL,35476
175,2300 MCFARLAND BLVD,NORTHPORT,AL,35476
176,2360 MCFARLAND BLVD EAST,TUSCALOOSA,AL,35404
177,315 EAST 15 STREET,TUSCALOOSA,AL,35401
178,1800 MCFARLAND BLVD EAST,TUSCALOOSA,AL,35404
179,600 SKYLAND BLVD E,TUSCALOOSA,AL,35405
180,800 QUINTARD AVE,ANNISTON,AL,36201
181,800 NOBLE ST,ANNISTON,AL,36201
182,1430 QUINTARD AVENUE,ANNISTON,AL,36201
183,1316 NOBLE STREET,ANNISTON,AL,36201
184,1501 HWY 14 EAST,SELMA,AL,36703
185,7171 ALABAMA HIGHWAY 22,NORTH VALLEY GRANDE,AL,36701
186,201 VETERANS DR,SCOTTSBORO,AL,35768
187,106 PARKS AVENUE,SCOTTSBORO,AL,35768
188,801 S BROAD ST,SCOTTSBORO,AL,35768
189,521 RICHARD ARRINGTON BLVD S 521 SOUTH 21ST STREET,BIRMINGHAM,AL,35233
190,2000 6TH AVENUE SOUTH,BIRMINGHAM,AL,35233
191,930 SOUTH 20TH STREET,BIRMINGHAM,AL,35205
192,1032 20TH ST,SOUTH BIRMINGHAM,AL,35205
193,1521 4TH AVE SOUTH,BIRMINGHAM,AL,35233
194,,BIRMINGHAM,AL,35233
195,601 19TH STREET SOUTH,BIRMINGHAM,AL,35249
196,464 N DEAN ROAD,AUBURN,AL,36830
197,770 EAST GLENN AVENUE,AUBURN,AL,36830
198,765 E GLENN AVE,AUBURN,AL,36830
199,1625 E UNIVERSITY DR,AUBURN,AL,36830
200,300 DEANS RD,AUBURN,AL,36830
201,1530 EAST GLENN AVE,AUBURN,AL,36832
202,310 SOUTH MAIN STREET,LINDEN,AL,36748
203,900 GOVERNMENT ST,MOBILE,AL,36604
204,851 ANN STREET,MONTGOMERY,AL,36107
205,2422 J DANVILLE ROAD SW,DECATUR,AL,35603
206,1605 BELTLINE RD SW,DECATUR,AL,35601
207,3588 MONTGOMERY HIGHWAY,PELHAM,AL,35124
208,1944 MONTGOMERY HIGHWAY S,BIRMINGHAM,AL,35244
209,2200 RIVERCHASE CENTER,HOOVER,AL,35244
210,370 SCHILLINGER ROAD SOUTH,MOBILE,AL,36695
211,2490 SCHILLINGER RD,S MOBILE,AL,36695
212,2420 DAWES ROAD,MOBILE,AL,36695
213,790 SCHILLINGER ROAD SOUTH,MOBILE,AL,36695
214,664 SCHILLINGER RD,S MOBILE,AL,36695
215,209 S WASHINGTON ST,AUTAUGAVILLE,AL,36003
216,1404 GOLDEN SPRINGS RD,ANNISTON,AL,36207
217,1408 GOLDEN SPRINGS ROAD,ANNISTON,AL,36207
218,1401 GOLDEN SPRINGS RD,ANNISTON,AL,36207
219,69 WEST MAIN STREET,GILBERTOWN,AL,36908
220,13456 CHOCTAW AVENUE,GILBERTOWN,AL,36908
221,509 EAST CUMMINGS AVENUE,OPP,AL,36467
222,24 HERREN HILL RD 24 HERREN HILL ROAD,TALLASSEE,AL,36078
223,1405 GILMER AVE,TALLASSEE,AL,36078
224,10 GILMER AVE,TALLASSEE,AL,36078
225,"10 GILMER AVENUE,","TALLASSEE,",AL,36078
226,1405 GILMER AVENUE,TALLASSEE,AL,36078
227,"3240 HIGHWAY 431,","ROANOKE,",AL,36274
228,3780 RIVERCHASE VILLAGE,HOOVER,AL,35216
229,17150 US HIGHWAY 80 WEST,SHORTER,AL,36075
230,10460 AL HWY,BOAZ,AL,35957
231,10639 AL HWY,BOAZ,AL,35957
232,241 BILLY DYAR BLVD,BOAZ,AL,35957
233,920 US HWY 431,BOAZ,AL,35957
234,1972 HIGHWAY 431,BOAZ,AL,35957
235,2370 HILLCREST ROAD,MOBILE,AL,36695
236,628 N WILSON AVE,PRICHARD,AL,36610
237,2800 SPRING AVENUE S,W DECATUR,AL,35603
238,1101 BELTLINE RD,DECATUR,AL,35601
239,2828 6TH AVE SE,DECATUR,AL,35601
240,1101 BELTLINE RD,DECATUR,AL,35601
241,1235 PT MALLARD PKWY SE,DECATUR,AL,35601
242,10303 MAIN STREET,OAKMAN,AL,35579
243,7 CAMDEN BYPASS,CAMDEN,AL,36726
244,24 CAMDEN BYPASS,CAMDEN,AL,36726
245,212 CLAIBORNE STREET,CAMDEN,AL,36726
246,1421 GULF SHORES PKWY,GULF SHORES,AL,36542
247,1527 HIGHWAY 59 SOUTH,GULF SHORES,AL,36542
248,3645 GULF SHORES PKWY 107,GULF SHORES,AL,36542
249,251 CLUBHOUSE DRIVE,GULF SHORES,AL,36547
250,251 CLUBHOUSE DRIVE,GULF SHORES,AL,36542
251,602 1ST AVENUE EAST,ONEONTA,AL,35121
252,2453 2ND AVE,EAST ONEONTA,AL,35121
253,2040 2ND AVE EAST,ONEONTA,AL,35121
254,"935 2ND AVE EAST,","ONEONTA,",AL,35121
255,1402 WEST DALLAS AVE,SELMA,AL,36701
256,1952 W DALLAS AVE,SELMA,AL,36701
257,1504 S MAIN STREET,ATMORE,AL,36502
258,108 SOUTH MAIN ST,ATMORE,AL,36502
259,400 MEDICAL PARK DRIVE,ATMORE,AL,36502
260,506 EAST CHURCH STREET,ATMORE,AL,36502
261,406 MEDICAL PARK DR,ATMORE,AL,36502
262,109 LINDBERG AVE,ATMORE,AL,36502
263,410 EAST CHURCH STREET,ATMORE,AL,36502
264,1513 5TH AVE N,BIRMINGHAM,AL,35203
265,221 20TH STREET,NORTH BIRMINGHAM,AL,35203
266,712 25TH STREET,NORTH BIRMINGHAM,AL,35203
267,2910 ALLISON BONNETT MEM DR,HUEYTOWN,AL,35023
268,3025 ALLISON BONNETT MEMORIAL DR,HUEYTOWN,AL,35023
269,3022 ALLISON BONNETT DR,HUEYTOWN,AL,35023
270,3014 ALLISON BONNETT MEMORIAL DR,HUEYTOWN,AL,35023
271,3056 ALLISON BONNETT,HUEYTOWN,AL,35023
272,,HUEYTOWN,AL,35023
273,101 US HWY 31 N,ATHENS,AL,35611
274,104 HIGHWAY 31,NORTH ATHENS,AL,35611
275,2525 OAKWOOD AVE,HUNTSVILLE,AL,35810
276,1205 NORTH MEMORIAL PARKWAY,HUNTSVILLE,AL,35801
277,1401 MEMORIAL PARKWAY N W,HUNTSVILLE,AL,35801
278,2599 SPARKMAN DRIVE,HUNTSVILLE,AL,35810
279,2110 OAKWOOD AVE,HUNTSVILLE,AL,35810
280,285 DUNLOP BLVD,HUNTSVILLE,AL,35824
281,797 MILITARY STREET S,HAMILTON,AL,35570
282,3190 ZELDA RD,MONTGOMERY,AL,36106
283,1525 FOREST AVENUE,MONTGOMERY,AL,36106
284,3700 HWY 280 431,NORTH PHENIX CITY,AL,36867
285,715 HWY 106,WEST GEORGIANA,AL,36033
286,236 JONES STREET,GEORGIANA,AL,36033
287,311 PELHAM RD S,JACKSONVILLE,AL,36265
288,7 PUBLIC SQUARE EAST,JACKSONVILLE,AL,36265
289,610 2ND AVENUE NW,CULLMAN,AL,35055
290,106 2ND AVE S,W CULLMAN,AL,35055
291,1201 4TH STREET S,W CULLMAN,AL,35055
292,444 2ND AVE NW,CULLMAN,AL,35055
293,1270 WEST MAIN STREET,DOTHAN,AL,36301
294,3440 ROSS CLARK CIRCLE NW,DOTHAN,AL,36303
295,1774 WEST MAIN STREET,DOTHAN,AL,36301
296,842 PEACHTREE ST,PRATTVILLE,AL,36066
297,703 S MEMORIAL DRIVE,PRATTVILLE,AL,36067
298,959 EAST MAIN ST,PRATTVILLE,AL,36066
299,103 SOUTH MEMORIAL DRIVE,PRATTVILLE,AL,36066
300,708 E MAIN ST,PRATTVILLE,AL,36067
301,701 MCMEANS AVENUE,BAY MINETTE,AL,36507
302,22530 US HWY 98,FAIRHOPE,AL,36532
303,10179 EASTERN SHORE DRIVE,SPANISH FORT,AL,36527
304,29683 FREDERICK BOULEVARD,DAPHNE,AL,36526
305,7101 HWY 90,DAPHNE,AL,36526
306,9052 INDEPENDENCE AVENUE,DAPHNE,AL,36526
307,3025 US HIGHWAY 98,DAPHNE,AL,36526
308,1698 US HWY 98,DAPHNE,AL,36526
309,3075 US HIGHWAY 98,DAPHNE,AL,36526
310,101 VILLA DRIVE,DAPHNE,AL,36526
311,1410 HWY 98,DAPHNE,AL,36526
312,24208 US HWY 98,FAIRHOPE,AL,36532
313,1410 HWY 98,DAPHNE,AL,36526
314,3820 GULF SHORES PKWY,GULF SHORES,AL,36542
315,160 COTTON CREEK DRIVE,GULF SHORES,AL,36542
316,24980 STATE ST,ELBERTA,AL,36530
317,23 COURT SQUARE,CLAYTON,AL,36016
318,3176 S EUFAULA AVE,EUFAULA,AL,36027
319,1055 S EUFAULA AVENUE,EUFAULA,AL,36027
320,,WOODSTOCK,AL,35188
321,23010 HIGHWAY 5,WEST BLOCTON,AL,35184
322,23010 HIGHWAY 5,WEST BLOCTON,AL,35184
323,27550 STATE HWY 75,ONEONTA,AL,35121
324,212 1ST AVE,EAST ONEONTA,AL,35121
325,302 N PRAIRIE,ST UNION SPRINGS,AL,36089
326,101 BASKIN ST,NORTH UNION SPRINGS,AL,36089
327,204 PRAIRIE STREET NORTH,UNION SPRINGS,AL,36089
328,101 GREENVILLE BYP,GREENVILLE,AL,36037
329,658 VALLEY CUB DRIVE,ALEXANDRIA,AL,36250
330,120 SPRING BRANCH ROAD,ALEXANDRIA,AL,36250
331,361 MUSTANG DR,RUSSELLVILLE,AL,35654
332,525 4TH AVE SE,RED BAY,AL,35582
333,523 FOURTH AVE SE,RED BAY,AL,35582
334,4109 EVA RD,EVA,AL,35621
335,4055 AL HWY,CEDAR BLUFF,AL,35959
336,1105 7TH ST,NORTH CLANTON,AL,35045
